city-address,type,passability,area,Average of money,Average of profit,Average of our_clients,Count of Index
"г. Хабаровск, ул. Краснореченская, д. 44",3,84400,8300,4670133.33,0.003,0.036666666666666674,3
"г. Хабаровск, ул. Ленинградская, д. 28и",0,71600,4600,3074026.67,0.009,0.2966666666666667,3
"г. Хабаровск, ул. Льва Толстого, д. 19",4,62300,1200,747600,0.009,0.2833333333333334,3
"г. Хабаровск, ул. Суворова, д. 44",1,90900,1700,1236240,0.003,0.07666666666666667,3
"г. Хабаровск, ул. Тихоокеанская, д. 136",3,90900,200,181800,0.003,0.053333333333333344,3
"г. Хабаровск, ул. Тургенева, д. 46",0,31000,5800,1318533.33,0.009,0.28,3
"г. Владивосток, просп. 100-летия Владивостока, 40",3,15900,8400,2671200,0.005,0.06,2
"г. Владивосток, просп. 100-летия Владивостока, д. 150",2,81600,2900,2603040,0.003,0.025,2
"г. Владивосток, просп. 100-летия Владивостока, д. 159",3,37500,4300,967500,0.003,0.04,2
"г. Владивосток, просп. Красного Знамени, д. 82",3,50900,4400,895840,0.003,0.035,2
"г. Владивосток, просп. Красного Знамени, д. 86а",3,61500,2300,1131600,0.012,0.42000000000000004,2
"г. Владивосток, просп. Народный, д. 28",1,69400,1600,444160,0.003,0.02,2
"г. Владивосток, просп. Океанский, д. 131в",1,92600,3900,722280,0.003,0.015,2
"г. Владивосток, просп. Океанский, д. 48а",2,85200,3600,1840320,0.003,0.02,2
"г. Владивосток, просп. Острякова, д. 13",3,37500,9800,1470000,0.003,0.035,2
"г. Владивосток, просп. Партизанский, д. 19",3,46400,3400,946560,0.003,0.055,2
"г. Владивосток, ул. Калинина, 275",3,9500,1300,209950,0.005,0.08,2
"г. Владивосток, ул. Адмирала Юмашева, д. 19",0,10100,4800,290880,0.003,0.03,2
"г. Владивосток, ул. Адмирала Юмашева, д. 7 Б",1,88300,5800,3584980,0.012,0.41000000000000003,2
"г. Владивосток, ул. Алеутская, д. 11",2,9600,8600,412800,0.003,0.02,2
"г. Владивосток, ул. Баляева, д. 35",2,82500,2800,1386000,0.012,0.42500000000000004,2
"г. Владивосток, ул. Бестужева, д. 31",2,64300,3700,1427460,0.003,0.03,2
"г. Владивосток, ул. Борисенко, д. 42",3,50900,300,152700,0.003,0.03,2
"г. Владивосток, ул. Бородинская, д. 14",4,48300,9800,2840040,0.003,0.03,2
"г. Владивосток, ул. Бородинская, д. 14, стр. 6",2,68100,7100,3384570,0.012,0.41000000000000003,2
"г. Владивосток, ул. Волгоградская, д. 7а",1,27100,7300,1384810,0.003,0.035,2
"г. Владивосток, ул. Гоголя, д. 39а",3,38600,8700,1679100,0.003,0.03,2
"г. Владивосток, ул. Дальзаводская, д. 2",1,50800,8500,1727200,0.003,0.03,2
"г. Владивосток, ул. Деревенская, д. 14",2,47900,8800,4215200,0.003,0.02,2
"г. Владивосток, ул. Днепровская, д. 36",2,99200,4300,4265600,0.003,0.03,2
"г. Владивосток, ул. Ивановская, д. 4",4,73700,1800,1459260,0.003,0.025,2
"г. Владивосток, ул. Ильичева, д. 4",2,56100,1900,852720,0.012,0.42000000000000004,2
"г. Владивосток, ул. Калинина, д. 277",1,62200,7500,4198500,0.003,0.02,2
"г. Владивосток, ул. Ладыгина, д. 15а",1,44900,2000,628600,0.003,0.035,2
"г. Владивосток, ул. Луговая, д. 91",3,74300,2100,1560300,0.003,0.02,2
"г. Владивосток, ул. Некрасовская, д. 122",0,56500,5600,3164000,0.003,0.03,2
"г. Владивосток, ул. Петра Великого, д. 2",2,75000,9600,6480000,0.003,0.045000000000000005,2
"г. Владивосток, ул. Полетаева, д. 6",3,93400,5000,4670000,0.003,0.025,2
"г. Владивосток, ул. Русская, д. 19а",1,91900,6300,4052790,0.003,0.015,2
"г. Владивосток, ул. Русская, д. 44",0,37400,1900,355300,0.003,0.025,2
"г. Владивосток, ул. Русская, д. 87а",2,61900,3500,1733200,0.003,0.035,2
"г. Владивосток, ул. Русская, д. 9 Б",0,35900,7800,2240160,0.003,0.045000000000000005,2
"г. Владивосток, ул. Светланская, д. 112",2,16300,7800,1271400,0.003,0.02,2
"г. Владивосток, ул. Светланская, д. 13",1,19600,1200,282240,0.012,0.41000000000000003,2
"г. Владивосток, ул. Семеновская, д. 23",4,8000,6200,347200,0.003,0.02,2
"г. Владивосток, ул. Семеновская, д. 29",0,61900,8300,4623930,0.003,0.05500000000000001,2
"г. Владивосток, ул. Трамвайная, д. 14 Б",2,64900,9300,5432130,0.012,0.41500000000000004,2
"г. Владивосток, ул. Успенского, д. 58",4,74600,9800,7310800,0.003,0.02,2
"г. Владивосток, ул. Фадеева, д. 30 Б",3,39700,7900,1568150,0.003,0.03,2
"г. Владивосток, ул. Шуйская, д. 23а",2,93100,5900,3845030,0.003,0.035,2
"г. Хабаровск, бул. Уссурийский, д. 24",3,28500,9500,2166000,0.003,0.05,2
"г. Хабаровск, просп. 60-летия Октября, д. 156",3,66500,6700,5792150,0.003,0.045000000000000005,2
"г. Хабаровск, ул. Карла Маркса, 91",1,44000,300,224400,0.005,0.08,2
"г. Хабаровск, ул. Суворова, 25",3,29800,6800,3444880,0.005,0.08,2
"г. Хабаровск, ул. Воронежская, д. 47а",0,86100,2300,1782270,0.003,0.07500000000000001,2
"г. Хабаровск, ул. Дзержинского, д. 65",1,66700,900,180090,0.002,0.045000000000000005,2
"г. Хабаровск, ул. Дикопольцева, д. 26",1,31700,5800,1654740,0.003,0.045000000000000005,2
"г. Хабаровск, ул. Карла Маркса, д. 143а",3,82200,3900,1602900,0.003,0.03,2
"г. Хабаровск, ул. Карла Маркса, д. 59",4,19200,1900,401280,0.003,0.045000000000000005,2
"г. Хабаровск, ул. Карла Маркса, д. 68",3,45000,700,346500,0.012,0.43500000000000005,2
"г. Хабаровск, ул. Карла Маркса, д. 76",3,66700,8400,6163080,0.003,0.025,2
"г. Хабаровск, ул. Краснореченская, д. 69",2,75900,5400,2049300,0.003,0.03,2
"г. Хабаровск, ул. Краснореченская, д. 9",1,89300,8400,6751080,0.003,0.045000000000000005,2
"г. Хабаровск, ул. Краснореченская, д. 92",2,11900,8600,921060,0.003,0.045000000000000005,2
"г. Хабаровск, ул. Ленина, д. 49",4,75300,4500,2371950,0.002,0.045000000000000005,2
"г. Хабаровск, ул. Ленинградская, д. 51",2,94700,300,113640,0.003,0.07,2
"г. Хабаровск, ул. Морозова, д. 58",0,49500,9400,5118300,0.003,0.025,2
"г. Хабаровск, ул. Муравьева-Амурского, д. 18",1,72900,1600,1632960,0.003,0.02,2
"г. Хабаровск, ул. Окружная, д. 13а",4,94200,2600,3183960,0.003,0.045000000000000005,2
"г. Хабаровск, ул. Пионерская, д. 10а",2,12700,8600,1092200,0.003,0.05,2
"г. Хабаровск, ул. Пушкина, д. 42",1,25500,8400,1927800,0.003,0.045000000000000005,2
"г. Хабаровск, ул. Руднева, д. 56",3,4100,2600,95940,0.003,0.045000000000000005,2
"г. Хабаровск, ул. Серышева, д. 47",4,49100,5300,2342070,0.003,0.045000000000000005,2
"г. Хабаровск, ул. Серышева, д. 52",3,11200,3700,248640,0.003,0.04,2
"г. Хабаровск, ул. Серышева, д. 60",3,31200,3000,936000,0.003,0.05,2
"г. Хабаровск, ул. Стрельникова, д. 10а",2,26100,3500,913500,0.003,0.05,2
"г. Хабаровск, ул. Тихоокеанская, д. 201в",4,79400,6000,2858400,0.003,0.02,2
"г. Хабаровск, ул. Узловая, д. 15а",2,71500,7000,5505500,0.003,0.025,2
"г. Хабаровск, ул. Ульяновская, д. 160",1,71000,1500,958500,0.003,0.045000000000000005,2
"г. Хабаровск, ул. Шкотова, д. 15а",3,78900,1100,1128270,0.003,0.045000000000000005,2
"г. Хабаровск, ш. Восточное, д. 41",1,10700,9500,1016500,0.003,0.025,2
"г. Владивосток, 44-й причал, д. 1",2,12300,7200,354240,0.003,0.02,1
"г. Владивосток, 8-я улица, д. 35",2,25300,1400,212520,0.003,0.02,1
"г. Владивосток, Артековская ул., 10",1,78500,5400,5934600,0.004,0.1,1
"г. Владивосток, бух. Якорная, д. 7",4,41300,3700,916860,0.003,0.02,1
"г. Владивосток, Луговая ул., 91",1,38600,5400,2918160,0.004,0.1,1
"г. Владивосток, наб. Корабельная, д. 4",1,900,9900,89100,0.02,0.8,1
"г. Владивосток, Окатовая ул., 28",0,50700,9000,6388200,0.004,0.1,1
"г. Владивосток, Океанский пр-кт, 52А",4,24600,8300,2858520,0.004,0.1,1
"г. Владивосток, Океанский пр-кт, 98А",2,11700,5400,884520,0.004,0.1,1
"г. Владивосток, пер. Камский, д. 6",1,66000,6100,4026000,0.02,0.8,1
"г. Владивосток, пер. Краснознаменный, д. 5в",1,77200,2900,447760,0.003,0.03,1
"г. Владивосток, пер. Павленко, д. 6",0,31400,3800,715920,0.003,0.02,1
"г. Владивосток, пр-кт 100 лет Владивостоку, 40",2,7500,4700,493500,0.004,0.1,1
"г. Владивосток, пр-кт Красного Знамени, 57",4,34300,1400,672280,0.004,0.1,1
"г. Владивосток, просп. 100-лет Владивостока, д. 57г",1,6700,2500,67000,0.003,0.02,1
"г. Владивосток, просп. 100-летия Владивостока 52 В",2,23400,2600,1216800,0.005,0.06,1
"г. Владивосток, просп. 100-летия Владивостока 68",3,8000,5100,816000,0.005,0.06,1
"г. Владивосток, просп. 100-летия Владивостока, 150, стр. В",2,97800,8700,17017200,0.005,0.06,1
"г. Владивосток, просп. 100-летия Владивостока, 155",4,8300,2000,232400,0.004,0.1,1
"г. Владивосток, просп. 100-летия Владивостока, 51",3,67900,3500,3327100,0.004,0.1,1
"г. Владивосток, просп. 100-летия Владивостока, 64",3,88600,100,177200,0.005,0.06,1
"г. Владивосток, просп. 100-летия Владивостока, д. 106 Б",4,90500,3800,6878000,0.005,0.06,1
"г. Владивосток, просп. 100-летия Владивостока, д. 150в",0,74300,9200,13671200,0.005,0.06,1
"г. Владивосток, просп. 100-летия Владивостока, д. 155",3,37500,3700,2775000,0.005,0.06,1
"г. Владивосток, просп. 100-летия Владивостока, д. 52в",3,51600,100,103200,0.005,0.06,1
"г. Владивосток, просп. 100-летия Владивостока, д. 57г",4,95000,3800,7220000,0.005,0.06,1
"г. Владивосток, просп. 100-летия Владивостока, д. 103",1,11300,5400,122040,0.003,0.05,1
"г. Владивосток, просп. 100-летия Владивостока, д. 124а",1,71600,3400,1460640,0.003,0.04,1
"г. Владивосток, просп. 100-летия Владивостока, д. 143г",0,26300,2000,210400,0.003,0.02,1
"г. Владивосток, просп. 100-летия Владивостока, д. 155",3,17900,9200,329360,0.003,0.02,1
"г. Владивосток, просп. 100-летия Владивостока, д. 36",1,63600,5100,2594880,0.003,0.01,1
"г. Владивосток, просп. 100-летия Владивостока, д. 37а",2,51100,4100,1676080,0.003,0.03,1
"г. Владивосток, просп. 100-летия Владивостока, д. 38",2,71900,1300,186940,0.001,0.02,1
"г. Владивосток, просп. 100-летия Владивостока, д. 39",3,75700,3800,1725960,0.003,0.03,1
"г. Владивосток, просп. 100-летия Владивостока, д. 45",4,68900,1300,537420,0.003,0.08,1
"г. Владивосток, просп. 100-летия Владивостока, д. 46",1,71700,6600,1892880,0.003,0.02,1
"г. Владивосток, просп. 100-летия Владивостока, д. 47",1,58700,4000,469600,0.003,0.02,1
"г. Владивосток, просп. 100-летия Владивостока, д. 52",3,99800,2500,1497000,0.003,0.03,1
"г. Владивосток, просп. 100-летия Владивостока, д. 54",4,37500,1600,360000,0.003,0.08,1
"г. Владивосток, просп. 100-летия Владивостока, д. 57д",1,77100,4400,1356960,0.003,0.07,1
"г. Владивосток, просп. 100-летия Владивостока, д. 88",1,98600,5200,1025440,0.003,0.01,1
"г. Владивосток, просп. Красного Знамени, 57",3,51100,400,408800,0.005,0.06,1
"г. Владивосток, просп. Красного Знамени, 59",0,68200,100,136400,0.005,0.06,1
"г. Владивосток, просп. Красного Знамени, д. 86а",0,42700,1800,1537200,0.005,0.06,1
"г. Владивосток, просп. Красного Знамени, д. 121",2,78600,1200,377280,0.003,0.02,1
"г. Владивосток, просп. Красного Знамени, д. 123д",3,68100,6600,2696760,0.003,0.04,1
"г. Владивосток, просп. Красного Знамени, д. 78",1,80200,9600,1539840,0.003,0.02,1
"г. Владивосток, просп. Красного Знамени, д. 91",0,6400,3100,158720,0.003,0.03,1
"г. Владивосток, просп. Народный, 17",3,87500,2400,4200000,0.005,0.06,1
"г. Владивосток, просп. Народный, 28",1,5800,2100,243600,0.005,0.06,1
"г. Владивосток, просп. Народный, д. 19",1,7400,6300,279720,0.003,0.03,1
"г. Владивосток, просп. Народный, д. 20",1,99900,7100,1418580,0.003,0.02,1
"г. Владивосток, просп. Народный, д. 28, стр. 4",1,21000,3900,819000,0.02,0.8,1
"г. Владивосток, просп. Народный, д. 43/2",3,40100,4500,1082700,0.003,0.04,1
"г. Владивосток, просп. Народный, д. 9, стр. 6",2,90000,7300,3942000,0.003,0.02,1
"г. Владивосток, просп. Океанский, 110 А",1,41700,9900,8256600,0.005,0.06,1
"г. Владивосток, просп. Океанский, 17",4,18500,8100,2997000,0.005,0.06,1
"г. Владивосток, просп. Океанский, 18",1,4200,8800,739200,0.005,0.06,1
"г. Владивосток, просп. Океанский, д. 110а",0,45100,6200,5592400,0.005,0.06,1
"г. Владивосток, просп. Океанский, д. 52 А",2,96200,3900,7503600,0.005,0.06,1
"г. Владивосток, просп. Океанский, д. 52а",4,12800,7300,1868800,0.005,0.06,1
"г. Владивосток, просп. Океанский, д. 1",2,87600,5900,3101040,0.003,0.03,1
"г. Владивосток, просп. Океанский, д. 108",4,16700,6200,1035400,0.02,0.8,1
"г. Владивосток, просп. Океанский, д. 12",3,17700,5900,626580,0.003,0.02,1
"г. Владивосток, просп. Океанский, д. 123 Б",3,39100,8500,3988200,0.003,0.07,1
"г. Владивосток, просп. Океанский, д. 138",1,99000,1100,653400,0.003,0.03,1
"г. Владивосток, просп. Океанский, д. 13а",2,80500,2100,676200,0.003,0.01,1
"г. Владивосток, просп. Океанский, д. 16",3,21200,800,67840,0.003,0.02,1
"г. Владивосток, просп. Океанский, д. 20",3,15700,1400,87920,0.003,0.02,1
"г. Владивосток, просп. Океанский, д. 24",3,74400,700,104160,0.003,0.01,1
"г. Владивосток, просп. Океанский, д. 26, стр. 1",0,68000,7000,2856000,0.003,0.08,1
"г. Владивосток, просп. Океанский, д. 34",1,88300,5100,2701980,0.003,0.03,1
"г. Владивосток, просп. Океанский, д. 98",2,30800,900,166320,0.003,0.04,1
"г. Владивосток, просп. Океанский, д. 98а",1,92700,4000,5191200,0.003,0.02,1
"г. Владивосток, просп. Острякова, 13",2,78600,4800,7545600,0.005,0.06,1
"г. Владивосток, просп. Острякова, 5, стр. Г",3,96300,8200,15793200,0.005,0.06,1
"г. Владивосток, просп. Острякова, д. 5г",0,87300,800,1396800,0.005,0.06,1
"г. Владивосток, просп. Острякова, д. 11",0,74800,4100,613360,0.003,0.05,1
"г. Владивосток, просп. Острякова, д. 2 Б",1,400,6200,14880,0.003,0.04,1
"г. Владивосток, просп. Острякова, д. 24",0,2700,8600,92880,0.003,0.03,1
"г. Владивосток, просп. Острякова, д. 27",2,45500,9100,3312400,0.003,0.03,1
"г. Владивосток, просп. Острякова, д. 8",2,18900,6800,1799280,0.003,0.02,1
"г. Владивосток, просп. Острякова, д. 9",4,38700,9000,2786400,0.003,0.01,1
"г. Владивосток, просп. Партизанский, д. 44",3,30200,1700,205360,0.003,0.02,1
"г. Владивосток, Русская ул., 19В",2,50000,900,630000,0.004,0.1,1
"г. Владивосток, Семеновская ул., 26",4,3400,200,9520,0.004,0.1,1
"г. Владивосток, ул. Адмирала Юмашева, д. 7, стр. Б",1,15200,2000,608000,0.005,0.06,1
"г. Владивосток, ул. Анны Щетининой, 21",3,21600,4500,1944000,0.005,0.06,1
"г. Владивосток, ул. Баляева, 35",3,48100,6100,5868200,0.005,0.06,1
"г. Владивосток, ул. Березовая, д. 25, стр. 2",1,40400,1500,1212000,0.005,0.06,1
"г. Владивосток, ул. Бестужева, 31",2,33100,1200,556080,0.004,0.1,1
"г. Владивосток, ул. Борисенко, 16",3,92100,9400,17314800,0.005,0.06,1
"г. Владивосток, ул. Бородинская, 14",3,23600,7100,3351200,0.005,0.06,1
"г. Владивосток, ул. Верхнепортовая, д. 2а",4,84900,9300,15791400,0.005,0.06,1
"г. Владивосток, ул. Верхнепортовая, д. 50а",4,78700,6500,10231000,0.005,0.06,1
"г. Владивосток, ул. Вилкова, д. 9",0,85900,7200,12369600,0.005,0.06,1
"г. Владивосток, ул. Волгоградская, 19, корп. А",3,17400,4600,1600800,0.005,0.06,1
"г. Владивосток, ул. Волгоградская, д. 19а",4,51700,6000,6204000,0.005,0.06,1
"г. Владивосток, ул. Героев Тихоокеанцев, д. 1",1,59800,100,119600,0.005,0.06,1
"г. Владивосток, ул. Героев Тихоокеанцев, д. 5а",3,21000,2700,1134000,0.005,0.06,1
"г. Владивосток, ул. Героев Хасана, 4",3,13000,3000,780000,0.005,0.06,1
"г. Владивосток, ул. Гоголя, 41",4,49100,5100,5008200,0.005,0.06,1
"г. Владивосток, ул. Давыдова, 18",0,99800,6800,13572800,0.005,0.06,1
"г. Владивосток, ул. Добровольского, 5",0,37200,3200,2380800,0.005,0.06,1
"г. Владивосток, ул. Жигура, 26",3,61600,1700,2094400,0.005,0.06,1
"г. Владивосток, ул. Жигура, 46",4,47700,3300,3148200,0.005,0.06,1
"г. Владивосток, ул. Зои Космодемьянской, 7",3,72000,1900,2736000,0.005,0.06,1
"г. Владивосток, ул. Ильичева, 16",4,25900,5300,2745400,0.005,0.06,1
"г. Владивосток, ул. Ильичева, д. 11а",1,81000,8000,12960000,0.005,0.06,1
"г. Владивосток, ул. Калинина, 20",1,24900,2800,1394400,0.005,0.06,1
"г. Владивосток, ул. Калинина, 277",3,58100,8600,9993200,0.005,0.06,1
"г. Владивосток, ул. Калинина, 29",2,12300,3800,934800,0.005,0.06,1
"г. Владивосток, ул. Калинина, д. 275а",1,52500,9700,10185000,0.005,0.06,1
"г. Владивосток, ул. Кирова, д. 21в",2,44100,9800,8643600,0.005,0.06,1
"г. Владивосток, ул. Ладыгина, 15",1,44500,9900,8811000,0.005,0.06,1
"г. Владивосток, ул. Лермонтова, д. 75",2,97200,9100,17690400,0.005,0.06,1
"г. Владивосток, ул. Луговая 91",2,72800,1400,2038400,0.005,0.06,1
"г. Владивосток, ул. Луговая, 21",2,20300,6500,2639000,0.005,0.06,1
"г. Владивосток, ул. Луговая, 69",3,29200,9900,5781600,0.005,0.06,1
"г. Владивосток, ул. Луговая, 89, стр. А",3,61900,7600,9408800,0.005,0.06,1
"г. Владивосток, ул. Луговая, д. 89а",3,70400,7500,10560000,0.005,0.06,1
"г. Владивосток, ул. Магнитогорская, 16",2,21800,2600,1133600,0.005,0.06,1
"г. Владивосток, ул. Магнитогорская, д. 11а",3,77000,6900,10626000,0.005,0.06,1
"г. Владивосток, ул. Маковского, 121",3,34900,5800,4048400,0.005,0.06,1
"г. Владивосток, ул. Маковского, 85",1,59500,9700,11543000,0.005,0.06,1
"г. Владивосток, ул. Мордовцева, 3",4,77800,8600,13381600,0.005,0.06,1
"г. Владивосток, ул. Муравьева-Амурского, д. 1, стр. Б",2,94600,2800,5297600,0.005,0.06,1
"г. Владивосток, ул. Набережная, 3",3,31800,1300,826800,0.005,0.06,1
"г. Владивосток, ул. Нейбута, 31",1,80600,7400,11928800,0.005,0.06,1
"г. Владивосток, ул. Нейбута, 47",2,86600,3300,4000920,0.004,0.1,1
"г. Владивосток, ул. Нейбута, 53 стр. а",3,82400,5100,8404800,0.005,0.06,1
"г. Владивосток, ул. Нейбута, д. 47а",0,78800,6500,10244000,0.005,0.06,1
"г. Владивосток, ул. Некрасовская, 94",3,45200,100,90400,0.005,0.06,1
"г. Владивосток, ул. Нижнепортовая, 1",2,96500,9900,19107000,0.005,0.06,1
"г. Владивосток, ул. Окатовая, 28",2,68500,9400,12878000,0.005,0.06,1
"г. Владивосток, ул. Олега Кошевого, д. 1 Б",2,49500,8800,8712000,0.005,0.06,1
"г. Владивосток, ул. Пихтовая, 4",0,22300,2900,1293400,0.005,0.06,1
"г. Владивосток, ул. Полетаева, д. 6",2,21700,4400,1909600,0.005,0.06,1
"г. Владивосток, ул. Посьетская, 14",1,51500,9400,9682000,0.005,0.06,1
"г. Владивосток, ул. Прапорщика Комарова, 36",1,43400,9100,7898800,0.005,0.06,1
"г. Владивосток, ул. Русская, 16",1,65000,1500,1950000,0.005,0.06,1
"г. Владивосток, ул. Русская, 66",4,46200,2600,2402400,0.005,0.06,1
"г. Владивосток, ул. Русская, д. 19в",1,87300,5000,8730000,0.005,0.06,1
"г. Владивосток, ул. Русская, д. 2а",4,87500,5000,8750000,0.005,0.06,1
"г. Владивосток, ул. Русская, д. 4",1,98800,4700,9287200,0.005,0.06,1
"г. Владивосток, ул. Русская, д. 46, стр. Б",3,97100,4900,9515800,0.005,0.06,1
"г. Владивосток, ул. Русская, д. 74 А",4,54100,8300,8980600,0.005,0.06,1
"г. Владивосток, ул. Русская, д. 74а",4,84700,7300,12366200,0.005,0.06,1
"г. Владивосток, ул. Русская, д. 87а",3,79800,1400,2234400,0.005,0.06,1
"г. Владивосток, ул. Сахалинская, 42",3,3500,6500,455000,0.005,0.06,1
"г. Владивосток, ул. Светланская 57",3,91800,6900,12668400,0.005,0.06,1
"г. Владивосток, ул. Светланская, 106",1,24100,7500,3615000,0.005,0.06,1
"г. Владивосток, ул. Светланская, 143",3,70700,1300,1838200,0.005,0.06,1
"г. Владивосток, ул. Светланская, 189",1,4100,9200,754400,0.005,0.06,1
"г. Владивосток, ул. Светланская, 22",3,53500,7600,8132000,0.005,0.06,1
"г. Владивосток, ул. Светланская, 29",1,50200,3900,3915600,0.005,0.06,1
"г. Владивосток, ул. Светланская, 31",2,56700,3800,4309200,0.005,0.06,1
"г. Владивосток, ул. Светланская, 71",0,74200,4600,6826400,0.005,0.06,1
"г. Владивосток, ул. Семеновская, 15",3,31600,8100,5119200,0.005,0.06,1
"г. Владивосток, ул. Спортивная, 5",2,65300,7400,9664400,0.005,0.06,1
"г. Владивосток, ул. Станюковича, 49, корп. А",3,57700,9400,10847600,0.005,0.06,1
"г. Владивосток, ул. Станюковича, д. 49а",0,62000,5500,6820000,0.005,0.06,1
"г. Владивосток, ул. Стрельникова, 9",2,80000,1500,2400000,0.005,0.06,1
"г. Владивосток, ул. Тимирязева, 31",3,16100,8500,2737000,0.005,0.06,1
"г. Владивосток, ул. Трамвайная, 16",2,88200,2800,4939200,0.005,0.06,1
"г. Владивосток, ул. Тухачевского, 53",1,90300,3800,6862800,0.005,0.06,1
"г. Владивосток, ул. Уборевича, 6",3,23600,4000,1888000,0.005,0.06,1
"г. Владивосток, ул. Фадеева, 1",1,69800,3700,5165200,0.005,0.06,1
"г. Владивосток, ул. Фадеева, 30Б",1,36200,5300,2686040,0.004,0.1,1
"г. Владивосток, ул. Фадеева, д. 30 Б",2,53600,4600,4931200,0.005,0.06,1
"г. Владивосток, ул. Фокина, 19",0,10900,4900,747740,0.004,0.1,1
"г. Владивосток, ул. Фонтанная, 18",2,68200,6500,8866000,0.005,0.06,1
"г. Владивосток, ул. Черемуховая 15",4,55000,6900,7590000,0.005,0.06,1
"г. Владивосток, ул. Черемуховая, 6",3,72200,600,866400,0.005,0.06,1
"г. Владивосток, ул. Черемуховая, 7",3,84100,2300,3868600,0.005,0.06,1
"г. Владивосток, ул. Шилкинская, д. 10а",0,65500,4300,5633000,0.005,0.06,1
"г. Владивосток, ул. Шилкинская, д. 42",2,51400,3300,3392400,0.005,0.06,1
